合計: 223話 (採用: 221, その他: 2)

番号 | タイトル | Perry | 教訓（末尾段落） | 判定
217 | オオカミとキツネとサル | Pe474 | 嘘つきは、たとえ本当のことを言っても信用されない。 | 採用
218 | アブと二輪戦車を曳くロバ | Pe498 | 僕はよく心得ているのだからね」 | 採用
219 | 漁師たち | Pe13 | んだのだから、後は悲しみを待つばかりだったのだよ」 | 採用
220 | ライオンと三頭の牡ウシ | Pe372 | 団結は力 | 採用
221 | 鳥刺しとマムシ | Pe115 | 「ああ、なんてことだ！　獲物を捕ろうとして、自分が死に捕まるとは････」 | 採用
222 | ウマとロバ | Pe565 | なさいました？　それにしても、侮蔑でもって遇されている程に身を落とすとは････」 | 採用
223 | キツネとお面 | Pe27 | のだからね」 | 採用
224 | ガチョウとツル | Pe228 | 危険が迫った時、貧乏人は身軽に逃げられるが、金持ちは逃げ遅れて身を滅ぼす。 | 採用
225 | 盲人とオオカミの仔 | Pe37 | 悪い性分は、小さな頃から顕れる。 | 採用
226 | イヌどもとキツネ | Pe406 | 倒れている者を蹴飛ばすのはたやすい。 | 採用
227 | 医者になった靴職人 | Pe475 | 命を委ねたのだからな」 | 採用
228 | オオカミとウマ | Pe154 | 悪評のある人は、善行をしても、悪評がために信用を得ない。 | 採用
229 | 兄と妹 | Pe449 | しなさい」 | 採用
230 | スズメバチと山ウズラと農夫 | Pe215 | 前たちに水をやるならば、牛たちに水をやるがよいに決まっている」 | 採用
231 | カラスとマーキュリー神 | Pe323 | て信ぜられようか」 | 採用
233 | 敵同士 | Pe68 | 「そうか、それなら死も苦痛ではない。私よりも先に敵が死ぬのを見られるのだから」 | 採用
234 | シャモとヤマウズラ | Pe23 | れないのだから」 | 採用
235 | カエルのお医者様 | Pe289 | ているぞ」 | 採用
236 | ライオンとオオカミとキツネ | Pe258 | 「主人を悪ではなく、善き方に導くが肝要である」 | 採用
237 | イヌの家 | Pe449 | ないし、それに必要もないと考えた。 | 採用
238 | オオカミとライオン | Pe260 | 「ああ、惨めだ。自惚れにより身を亡ぼすとは……」 | 採用
241 | キツネとライオン | Pe409 | 「我を罵っているのは、お主ではない。我に降りかかった災難がお主に言わせておるのじゃ！」 | 採用
242 | フクロウと鳥たち | Pe437 | た。 | 採用
243 | 捕らえられたラッパ兵 | Pe370 | のだからな！」 | 採用
245 | スズメとウサギ | Pe473 | じ不幸を嘆く羽目になろうとはね！」 | 採用
246 | ノミと牡ウシ | Pe | P273 Cha358 H426 TMI.U142 (Aesop) | 除外(Perry番号なし)
247 | 善い者と悪い者たち | Pe274 | ることはない。そして、善良な人を見つけると順番に彼らの許に入って行くのである。 | 採用
248 | ハトとカラス | Pe202 | れば増えるだけ、悲しみも増すものですよ」 | 採用
252 | ジュピターとネプチューンとミネルヴァとモーモス | Pe100 | オリンポスの神殿から追い出した。 | 採用
253 | ワシとキツネ | Pe1 | る前で、雛たちをがつがつ食い尽くした。 | 採用
255 | ロバと買い手 | Pe237 | その友をみれば、その人がわかる。 | 採用
256 | 二つの袋 | Pe266 | にはなかなか気付かないのだ。 | 採用
259 | 父親を埋葬するヒバリ | Pe447 | 子の第一の務めは、親を敬うことである。 | 採用
261 | 母イヌとその子 | Pe480 | を占領してしまい、ヒツジ飼が近づくのさえ許さなかった。 | 採用
262 | イヌと皮 | Pe135 | 出来ることをせよ | 採用
263 | ヒツジ飼とヒツジ | Pe208 | わせてやっている私の服は台無しにする……」 | 採用
264 | セミとフクロウ | Pe507 | ら身を乗り出すと、セミを捕まえて殺した。 | 採用
265 | サルとラクダ | Pe83 | 猿真似ほど間抜けなものはない。 | 採用
266 | 農夫とリンゴの木 | Pe299 | 世の中には、利益のためにしか行動しない人がいる。 | 採用
267 | 二人の兵士と泥棒 | Pe524 | その剣は鞘に収め、その役立たずの舌もとっておくことだ。……知らぬ者をだませるようにな」 | 採用
268 | 御神木 | Pe508 | それが実を結ばぬことならば、その栄光は虚栄と言うほかあるまいな」 | 採用
269 | 母親とオオカミ | Pe158 | 「女の言葉を信用して、無駄な時間を費やすとは、とんだ間抜けだったよ」 | 採用
270 | ロバとウマ | Pe571 | とは思えないのですよ」 | 採用
271 | 真理と旅人 | Pe355 | 「以前は殆どみられなかった偽りが、今では、あらゆる人々の間に蔓延しているからです」 | 採用
272 | 人殺し | Pe32 | このように、地、空、水は皆、殺人者を庇護するのを拒んだのであった。 | 採用
273 | ライオンとキツネ | Pe394 | た。 | 採用
